nummer,reeks,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V080091,OVERGANGSKLASSE B,2016-10-09 15:30:00,BORNEM,HOEVENEN 2,,,, ,Bornem
V080092,OVERGANGSKLASSE B,2016-10-09 12:00:00,BOUTERSEM,VOSKO,,,, ,Boutersem
V080093,OVERGANGSKLASSE B,2016-10-09 12:40:00,Hoboken/Mercurius 3,THE BLUE GHOSTS,,,, ,Hoboken 2000
V080100,HOOFDKLASSE 1 res,2016-10-09 14:00:00,APPELS RES,VERDE RES,,,, ,Appels
V080101,HOOFDKLASSE 1 res,2016-10-09 14:00:00,CATBA RES,GANDA RES,,,, ,Catba
V080102,HOOFDKLASSE 1 res,2016-10-08 19:00:00,RIJKO RES,KCBJ RES,,,, ,Rijko
V080103,HOOFDKLASSE 1 res,2016-10-09 14:00:00,Hoboken/Mercurius res,SPARTACUS RES,,,, ,Hoboken 2000
V080110,HOOFDKLASSE 2 res,2016-10-09 14:30:00,KAPELLEN RES,NEERLANDIA RES,,,, ,Kapellen
V080111,HOOFDKLASSE 2 res,2016-10-09 14:00:00,TECHNICO RES,HOEVENEN RES,,,, ,Technico
V080112,HOOFDKLASSE 2 res,2016-10-09 15:30:00,HOVE RES,ATBS RES,,,, ,Hove
V080113,HOOFDKLASSE 2 res,2016-10-09 14:00:00,BOECHOUT_VREMDE RES,AGO AALST RES,,,, ,Boechout
V080120,OVERGANGSKLASSE A res,2016-10-08 20:00:00,VOS REINAERT RES,DEURNE RES,,,, ,Vos Reinaert
V080121,OVERGANGSKLASSE A res,2016-10-09 00:00:00,VRIJ,KCOV RES,,,, ,
V080122,OVERGANGSKLASSE A res,2016-10-08 20:30:00,KC LIMES RES,EKERSE RES,,,, ,Limes
V080123,OVERGANGSKLASSE A res,2016-10-09 15:30:00,RKC RES,O.ANDERLECHT RES,,,, ,RKC
V080130,1ste gew TOPKLASSE ,2016-10-09 12:40:00,AKC/Luma 2,FLORIANT 2,,,, ,AKC
V080131,1ste gew TOPKLASSE ,2016-10-09 00:00:00,BORGERHOUT/GW 2,VRIJ,,,, ,
V080132,1ste gew TOPKLASSE ,2016-10-09 12:40:00,MINERVA 2,BOECKENBERG 2,,,, ,Minerva
V080133,1ste gew TOPKLASSE ,2016-10-09 00:00:00,VRIJ,MEEUWEN 2,,,, ,
V080140,1ste gew PROMOKLASSE,2016-10-09 12:40:00,LEUVEN 2,RIVIERA 2,,,, ,Leuven
V080141,1ste gew PROMOKLASSE,2016-10-09 12:40:00,VOORWAARTS 2,TEMSE 2,,,, ,Voorwaarts
V080142,1ste gew PROMOKLASSE,2016-10-09 12:40:00,ASKC 2,SIKOPI 2,,,, ,ASKC
V080143,1ste gew PROMOKLASSE,2016-10-09 12:40:00,PUTSE 2,VOBAKO 2,,,, ,Putse
V080150,1ste gew HOOFDKLASSE 1,2016-10-09 12:40:00,APPELS 2,VERDE 2,,,, ,Appels
V080151,1ste gew HOOFDKLASSE 1,2016-10-09 12:40:00,CATBA 2,GANDA 2,,,, ,Catba
V080152,1ste gew HOOFDKLASSE 1,2016-10-08 00:00:00,RIJKO 2,VRIJ,,,, ,
V080153,1ste gew HOOFDKLASSE 1,2016-10-09 12:40:00,Hoboken/Mercurius 2,SPARTACUS 2,,,, ,Hoboken 2000
V090060,HOOFDKLASSE 1,2016-10-16 14:15:00,VERDE,CATBA,,,, ,Verde
V090061,HOOFDKLASSE 1,2016-10-16 15:30:00,GANDA,SPARTACUS,,,, ,Ganda
V090062,HOOFDKLASSE 1,2016-10-15 20:30:00,RIJKO,Hoboken/Mercurius,,,, ,Rijko
V090063,HOOFDKLASSE 1,2016-10-16 15:30:00,APPELS,KCBJ,,,, ,Appels
V090070,HOOFDKLASSE 2,2016-10-16 15:30:00,NEERLANDIA,HOEVENEN,,,, ,Neerlandia
V090071,HOOFDKLASSE 2,2016-10-16 15:30:00,TECHNICO,AGO AALST,,,, ,Technico
V090072,HOOFDKLASSE 2,2016-10-16 14:00:00,HOVE,BOECHOUT_VREMDE,,,, ,Hove
V090073,HOOFDKLASSE 2,2016-10-16 16:00:00,KAPELLEN,ATBS,,,, ,Kapellen
V090080,OVERGANGSKLASSE A,2016-10-15 20:30:00,DEURNE,JOKI,,,, ,Deurne
V090081,OVERGANGSKLASSE A,2016-10-16 14:00:00,KCOV,O.ANDERLECHT,,,, ,KCOV
V090082,OVERGANGSKLASSE A,2016-10-15 19:00:00,KC Limes,RKC,,,, ,Limes
V090083,OVERGANGSKLASSE A,2016-10-15 18:30:00,VOS REINAERT,EKERSE,,,, ,Vos Reinaert
V090090,OVERGANGSKLASSE B,2016-10-16 12:40:00,NEERLANDIA 2,HOEVENEN 2,,,, ,Neerlandia
V090091,OVERGANGSKLASSE B,2016-10-16 15:30:00,BORNEM,THE BLUE GHOSTS,,,, ,Bornem
V090092,OVERGANGSKLASSE B,2016-10-16 12:00:00,BOUTERSEM,Hoboken/Mercurius 3,,,, ,Boutersem
V090093,OVERGANGSKLASSE B,2016-10-16 12:40:00,KAPELLEN 2,VOSKO,,,, ,Kapellen
V090100,HOOFDKLASSE 1 res,2016-10-16 15:45:00,VERDE RES,CATBA RES,,,, ,Verde
V090101,HOOFDKLASSE 1 res,2016-10-16 14:00:00,GANDA RES,SPARTACUS RES,,,, ,Ganda
V090102,HOOFDKLASSE 1 res,2016-10-15 19:00:00,RIJKO RES,Hoboken/Mercurius res,,,, ,Rijko
V090103,HOOFDKLASSE 1 res,2016-10-16 14:00:00,APPELS RES,KCBJ RES,,,, ,Appels
V090110,HOOFDKLASSE 2 res,2016-10-16 14:00:00,NEERLANDIA RES,HOEVENEN RES,,,, ,Neerlandia
V090111,HOOFDKLASSE 2 res,2016-10-16 14:00:00,TECHNICO RES,AGO AALST RES,,,, ,Technico
V090112,HOOFDKLASSE 2 res,2016-10-16 15:30:00,HOVE RES,BOECHOUT_VREMDE RES,,,, ,Hove
V090113,HOOFDKLASSE 2 res,2016-10-16 14:30:00,KAPELLEN RES,ATBS RES,,,, ,Kapellen
V090120,OVERGANGSKLASSE A res,2016-10-15 00:00:00,DEURNE RES,VRIJ,,,, ,
V090121,OVERGANGSKLASSE A res,2016-10-16 15:30:00,KCOV RES,O.ANDERLECHT RES,,,, ,KCOV
V090122,OVERGANGSKLASSE A res,2016-10-15 20:30:00,KC LIMES RES,RKC RES,,,, ,Limes
V090123,OVERGANGSKLASSE A res,2016-10-15 20:00:00,VOS REINAERT RES,EKERSE RES,,,, ,Vos Reinaert
V090150,1ste gew HOOFDKLASSE 1,2016-10-16 12:40:00,VERDE 2,CATBA 2,,,, ,Verde
V090151,1ste gew HOOFDKLASSE 1,2016-10-16 12:40:00,GANDA 2,SPARTACUS 2,,,, ,Ganda
V090152,1ste gew HOOFDKLASSE 1,2016-10-15 17:30:00,RIJKO 2,Hoboken/Mercurius 2,,,, ,Rijko
V090153,1ste gew HOOFDKLASSE 1,2016-10-16 00:00:00,APPELS 2,VRIJ,,,, ,
V100060,HOOFDKLASSE 1,2016-10-23 15:30:00,Hoboken/Mercurius,GANDA,,,, ,Hoboken 2000
V100061,HOOFDKLASSE 1,2016-10-23 15:30:00,CATBA,APPELS,,,, ,Catba
V100062,HOOFDKLASSE 1,2016-10-23 15:30:00,KCBJ,VERDE,,,, ,KCBJ
V100063,HOOFDKLASSE 1,2016-10-23 14:30:00,SPARTACUS,RIJKO,,,, ,Spartacus
V100070,HOOFDKLASSE 2,2016-10-23 15:30:00,BOECHOUT_VREMDE,TECHNICO,,,, ,Boechout
V100071,HOOFDKLASSE 2,2016-10-23 14:00:00,HOEVENEN,KAPELLEN,,,, ,Hoevenen
V100072,HOOFDKLASSE 2,2016-10-23 15:30:00,ATBS,NEERLANDIA,,,, ,ATBS
V100073,HOOFDKLASSE 2,2016-10-23 14:00:00,AGO AALST,HOVE,,,, ,AGO Aalst
V100080,OVERGANGSKLASSE A,2016-10-23 14:00:00,RKC,KCOV,,,, ,RKC
V100081,OVERGANGSKLASSE A,2016-10-23 14:00:00,JOKI,VOS REINAERT,,,, ,Joki
V100082,OVERGANGSKLASSE A,2016-10-23 14:00:00,EKERSE,DEURNE,,,, ,Ekerse
V100083,OVERGANGSKLASSE A,2016-10-23 14:00:00,O.ANDERLECHT,KC Limes,,,, ,Anderlecht
V100090,OVERGANGSKLASSE B,2016-10-23 12:40:00,Hoboken/Mercurius 3,BORNEM,,,, ,Hoboken 2000
V100091,OVERGANGSKLASSE B,2016-10-23 12:40:00,HOEVENEN 2,KAPELLEN 2,,,, ,Hoevenen
V100092,OVERGANGSKLASSE B,2016-10-23 15:30:00,VOSKO,NEERLANDIA 2,,,, ,Vosko
V100093,OVERGANGSKLASSE B,2016-10-22 15:30:00,THE BLUE GHOSTS,BOUTERSEM,,,, ,The Blue Ghosts
V100100,HOOFDKLASSE 1 res,2016-10-23 14:00:00,Hoboken/Mercurius res,GANDA RES,,,, ,Hoboken 2000
V100101,HOOFDKLASSE 1 res,2016-10-23 14:00:00,CATBA RES,APPELS RES,,,, ,Catba
V100102,HOOFDKLASSE 1 res,2016-10-23 14:00:00,KCBJ RES,VERDE RES,,,, ,KCBJ
V100103,HOOFDKLASSE 1 res,2016-10-23 16:00:00,SPARTACUS RES,RIJKO RES,,,, ,Spartacus
V100110,HOOFDKLASSE 2 res,2016-10-23 14:00:00,BOECHOUT_VREMDE RES,TECHNICO RES,,,, ,Boechout
V100111,HOOFDKLASSE 2 res,2016-10-23 15:30:00,HOEVENEN RES,KAPELLEN RES,,,, ,Hoevenen
V100112,HOOFDKLASSE 2 res,2016-10-23 14:00:00,ATBS RES,NEERLANDIA RES,,,, ,ATBS
V100113,HOOFDKLASSE 2 res,2016-10-23 15:30:00,AGO AALST RES,HOVE RES,,,, ,AGO Aalst
V100120,OVERGANGSKLASSE A res,2016-10-23 15:30:00,RKC RES,KCOV RES,,,, ,RKC
V100121,OVERGANGSKLASSE A res,2016-10-23 00:00:00,VRIJ,VOS REINAERT RES,,,, ,
V100122,OVERGANGSKLASSE A res,2016-10-23 15:30:00,EKERSE RES,DEURNE RES,,,, ,Ekerse
V100123,OVERGANGSKLASSE A res,2016-10-23 15:30:00,O.ANDERLECHT RES,KC LIMES RES,,,, ,Anderlecht
V100150,1ste gew HOOFDKLASSE 1,2016-10-23 12:40:00,Hoboken/Mercurius 2,GANDA 2,,,, ,Hoboken 2000
V100151,1ste gew HOOFDKLASSE 1,2016-10-23 12:40:00,CATBA 2,APPELS 2,,,, ,Catba
V100152,1ste gew HOOFDKLASSE 1,2016-10-23 00:00:00,VRIJ,VERDE 2,,,, ,
V100153,1ste gew HOOFDKLASSE 1,2016-10-23 12:40:00,SPARTACUS 2,RIJKO 2,,,, ,Spartacus
V160001,TOPKLASSE,2017-04-02 15:30:00,BOECKENBERG,SCALDIS,,,, ,Boeckenberg - Sportcenter
V160002,TOPKLASSE,2017-04-02 15:30:00,BORGERHOUT/GW,MINERVA,,,, ,Borgerhout/GW
V160003,TOPKLASSE,2017-04-02 15:30:00,FLORIANT,MEEUWEN,,,, ,Floriant
V160004,TOPKLASSE,2017-04-02 15:30:00,AKC/Luma,KWIK,,,, ,AKC
V160030,PROMOKLASSE,2017-04-02 15:30:00,SIKOPI,PUTSE,,,, ,Sikopi
V160031,PROMOKLASSE,2017-04-02 15:30:00,VOORWAARTS,ASKC,,,, ,Voorwaarts
V160032,PROMOKLASSE,2017-04-02 15:30:00,VOBAKO,RIVIERA,,,, ,Vobako
V160033,PROMOKLASSE,2017-04-01 20:30:00,TEMSE,LEUVEN,,,, ,Temse
V160040,TOPKLASSE res,2017-04-02 14:00:00,BOECKENBERG RES,SCALDIS RES,,,, ,Boeckenberg - Sportcenter
V160041,TOPKLASSE res,2017-04-02 14:00:00,BORGERHOUT/GW RES,MINERVA RES,,,, ,Borgerhout/GW
V160042,TOPKLASSE res,2017-04-02 14:00:00,FLORIANT RES,MEEUWEN RES,,,, ,Floriant
V160043,TOPKLASSE res,2017-04-02 14:00:00,AKC/Luma RES,KWIK RES,,,, ,AKC
V160050,PROMOKLASSE res,2017-04-02 14:00:00,SIKOPI RES,PUTSE RES,,,, ,Sikopi
V160051,PROMOKLASSE res,2017-04-02 14:00:00,VOORWAARTS RES,ASKC RES,,,, ,Voorwaarts
V160052,PROMOKLASSE res,2017-04-02 14:00:00,VOBAKO RES,RIVIERA RES,,,, ,Vobako
V160053,PROMOKLASSE res,2017-04-01 18:45:00,TEMSE RES,LEUVEN RES,,,, ,Temse
V160060,HOOFDKLASSE 1,2017-04-02 14:15:00,VERDE,SPARTACUS,,,, ,Verde
V160061,HOOFDKLASSE 1,2017-04-02 15:30:00,CATBA,KCBJ,,,, ,Catba
V160062,HOOFDKLASSE 1,2017-04-01 20:30:00,RIJKO,GANDA,,,, ,Rijko
V160063,HOOFDKLASSE 1,2017-04-02 15:30:00,APPELS,Hoboken/Mercurius,,,, ,Appels
V160070,HOOFDKLASSE 2,2017-04-02 15:30:00,NEERLANDIA,AGO AALST,,,, ,Neerlandia
V160071,HOOFDKLASSE 2,2017-04-02 14:00:00,HOEVENEN,ATBS,,,, ,Hoevenen
V160072,HOOFDKLASSE 2,2017-04-02 14:00:00,HOVE,TECHNICO,,,, ,Hove
V160073,HOOFDKLASSE 2,2017-04-02 16:00:00,KAPELLEN,BOECHOUT_VREMDE,,,, ,Kapellen
V160080,OVERGANGSKLASSE A,2017-04-01 20:30:00,DEURNE,O.ANDERLECHT,,,, ,Deurne
V160081,OVERGANGSKLASSE A,2017-04-02 14:00:00,JOKI,EKERSE,,,, ,Joki
V160082,OVERGANGSKLASSE A,2017-04-02 14:00:00,KCOV,KC Limes,,,, ,KCOV
V160083,OVERGANGSKLASSE A,2017-04-01 18:30:00,VOS REINAERT,RKC,,,, ,Vos Reinaert
V160090,OVERGANGSKLASSE B,2017-04-01 15:30:00,THE BLUE GHOSTS,NEERLANDIA 2,,,, ,The Blue Ghosts
V160091,OVERGANGSKLASSE B,2017-04-02 12:40:00,HOEVENEN 2,VOSKO,,,, ,Hoevenen
V160092,OVERGANGSKLASSE B,2017-04-02 12:00:00,BOUTERSEM,BORNEM,,,, ,Boutersem
V160093,OVERGANGSKLASSE B,2017-04-02 12:40:00,KAPELLEN 2,Hoboken/Mercurius 3,,,, ,Kapellen
V160100,HOOFDKLASSE 1 res,2017-04-02 15:45:00,VERDE RES,SPARTACUS RES,,,, ,Verde
V160101,HOOFDKLASSE 1 res,2017-04-02 14:00:00,CATBA RES,KCBJ RES,,,, ,Catba
V160102,HOOFDKLASSE 1 res,2017-04-01 19:00:00,RIJKO RES,GANDA RES,,,, ,Rijko
V160103,HOOFDKLASSE 1 res,2017-04-02 14:00:00,APPELS RES,Hoboken/Mercurius res,,,, ,Appels
V160110,HOOFDKLASSE 2 res,2017-04-02 14:00:00,NEERLANDIA RES,AGO AALST RES,,,, ,Neerlandia
V160111,HOOFDKLASSE 2 res,2017-04-02 15:30:00,HOEVENEN RES,ATBS RES,,,, ,Hoevenen
V160112,HOOFDKLASSE 2 res,2017-04-02 15:30:00,HOVE RES,TECHNICO RES,,,, ,Hove
V160113,HOOFDKLASSE 2 res,2017-04-02 14:30:00,KAPELLEN RES,BOECHOUT_VREMDE RES,,,, ,Kapellen
V160120,OVERGANGSKLASSE A res,2017-04-01 19:00:00,DEURNE RES,O.ANDERLECHT RES,,,, ,Deurne
V160121,OVERGANGSKLASSE A res,2017-04-02 00:00:00,VRIJ,EKERSE RES,,,, ,
V160122,OVERGANGSKLASSE A res,2017-04-02 15:30:00,KCOV RES,KC LIMES RES,,,, ,KCOV
V160123,OVERGANGSKLASSE A res,2017-04-01 20:00:00,VOS REINAERT RES,RKC RES,,,, ,Vos Reinaert
V160130,1ste gew TOPKLASSE ,2017-04-02 00:00:00,BOECKENBERG 2,VRIJ,,,, ,
V160131,1ste gew TOPKLASSE ,2017-04-02 12:40:00,BORGERHOUT/GW 2,MINERVA 2,,,, ,Borgerhout/GW
V160132,1ste gew TOPKLASSE ,2017-04-02 12:40:00,FLORIANT 2,MEEUWEN 2,,,, ,Floriant
V160133,1ste gew TOPKLASSE ,2017-04-02 00:00:00,AKC/Luma 2,VRIJ,,,, ,
V160140,1ste gew PROMOKLASSE,2017-04-02 12:40:00,SIKOPI 2,PUTSE 2,,,, ,Sikopi
V160141,1ste gew PROMOKLASSE,2017-04-02 12:40:00,VOORWAARTS 2,ASKC 2,,,, ,Voorwaarts
V160142,1ste gew PROMOKLASSE,2017-04-02 12:40:00,VOBAKO 2,RIVIERA 2,,,, ,Vobako
V160143,1ste gew PROMOKLASSE,2017-04-01 17:30:00,TEMSE 2,LEUVEN 2,,,, ,Temse
V160150,1ste gew HOOFDKLASSE 1,2017-04-02 12:40:00,VERDE 2,SPARTACUS 2,,,, ,Verde
V160151,1ste gew HOOFDKLASSE 1,2017-04-02 00:00:00,CATBA 2,VRIJ,,,, ,
V160152,1ste gew HOOFDKLASSE 1,2017-04-01 17:30:00,RIJKO 2,GANDA 2,,,, ,Rijko
V160153,1ste gew HOOFDKLASSE 1,2017-04-02 12:40:00,APPELS 2,Hoboken/Mercurius 2,,,, ,Appels
V170001,TOPKLASSE,2017-04-09 15:30:00,AKC/Luma,MINERVA,,,, ,AKC
V170002,TOPKLASSE,2017-04-09 15:30:00,FLORIANT,BOECKENBERG,,,, ,Floriant
V170003,TOPKLASSE,2017-04-09 15:30:00,MEEUWEN,KWIK,,,, ,Meeuwen
V170004,TOPKLASSE,2017-04-09 15:30:00,SCALDIS,BORGERHOUT/GW,,,, ,Scaldis
V170030,PROMOKLASSE,2017-04-09 15:30:00,LEUVEN,ASKC,,,, ,Leuven
V170031,PROMOKLASSE,2017-04-09 15:30:00,RIVIERA,SIKOPI,,,, ,Riviera
V170032,PROMOKLASSE,2017-04-09 15:30:00,VOBAKO,TEMSE,,,, ,Vobako
V170033,PROMOKLASSE,2017-04-09 15:30:00,PUTSE,VOORWAARTS,,,, ,Putse
V170040,TOPKLASSE res,2017-04-09 14:00:00,AKC/Luma RES,MINERVA RES,,,, ,AKC
V170041,TOPKLASSE res,2017-04-09 14:00:00,FLORIANT RES,BOECKENBERG RES,,,, ,Floriant
V170042,TOPKLASSE res,2017-04-09 14:00:00,MEEUWEN RES,KWIK RES,,,, ,Meeuwen
V170043,TOPKLASSE res,2017-04-09 14:00:00,SCALDIS RES,BORGERHOUT/GW RES,,,, ,Scaldis
V170050,PROMOKLASSE res,2017-04-09 14:00:00,LEUVEN RES,ASKC RES,,,, ,Leuven
V170051,PROMOKLASSE res,2017-04-09 14:00:00,RIVIERA RES,SIKOPI RES,,,, ,Riviera
V170052,PROMOKLASSE res,2017-04-09 14:00:00,VOBAKO RES,TEMSE RES,,,, ,Vobako
V170053,PROMOKLASSE res,2017-04-09 14:00:00,PUTSE RES,VOORWAARTS RES,,,, ,Putse
V170060,HOOFDKLASSE 1,2017-04-09 15:30:00,Hoboken/Mercurius,KCBJ,,,, ,Hoboken 2000
V170061,HOOFDKLASSE 1,2017-04-09 15:30:00,GANDA,VERDE,,,, ,Ganda
V170062,HOOFDKLASSE 1,2017-04-08 20:30:00,RIJKO,APPELS,,,, ,Rijko
V170063,HOOFDKLASSE 1,2017-04-09 14:30:00,SPARTACUS,CATBA,,,, ,Spartacus
V170070,HOOFDKLASSE 2,2017-04-09 15:30:00,BOECHOUT_VREMDE,ATBS,,,, ,Boechout
V170071,HOOFDKLASSE 2,2017-04-09 15:30:00,TECHNICO,NEERLANDIA,,,, ,Technico
V170072,HOOFDKLASSE 2,2017-04-09 14:00:00,HOVE,KAPELLEN,,,, ,Hove
V170073,HOOFDKLASSE 2,2017-04-09 14:00:00,AGO AALST,HOEVENEN,,,, ,AGO Aalst
V170080,OVERGANGSKLASSE A,2017-04-09 14:00:00,RKC,EKERSE,,,, ,RKC
V170081,OVERGANGSKLASSE A,2017-04-09 14:00:00,KCOV,DEURNE,,,, ,KCOV
V170082,OVERGANGSKLASSE A,2017-04-08 19:00:00,KC Limes,VOS REINAERT,,,, ,Limes
V170083,OVERGANGSKLASSE A,2017-04-09 14:00:00,O.ANDERLECHT,JOKI,,,, ,Anderlecht
V170090,OVERGANGSKLASSE B,2017-04-09 12:40:00,Hoboken/Mercurius 3,VOSKO,,,, ,Hoboken 2000
V170091,OVERGANGSKLASSE B,2017-04-09 15:30:00,BORNEM,NEERLANDIA 2,,,, ,Bornem
V170092,OVERGANGSKLASSE B,2017-04-09 12:00:00,BOUTERSEM,KAPELLEN 2,,,, ,Boutersem
V170093,OVERGANGSKLASSE B,2017-04-08 15:30:00,THE BLUE GHOSTS,HOEVENEN 2,,,, ,The Blue Ghosts
V170100,HOOFDKLASSE 1 res,2017-04-09 14:00:00,Hoboken/Mercurius res,KCBJ RES,,,, ,Hoboken 2000
V170101,HOOFDKLASSE 1 res,2017-04-09 14:00:00,GANDA RES,VERDE RES,,,, ,Ganda
V170102,HOOFDKLASSE 1 res,2017-04-08 19:00:00,RIJKO RES,APPELS RES,,,, ,Rijko
V170103,HOOFDKLASSE 1 res,2017-04-09 16:00:00,SPARTACUS RES,CATBA RES,,,, ,Spartacus
V170110,HOOFDKLASSE 2 res,2017-04-09 14:00:00,BOECHOUT_VREMDE RES,ATBS RES,,,, ,Boechout
V170111,HOOFDKLASSE 2 res,2017-04-09 14:00:00,TECHNICO RES,NEERLANDIA RES,,,, ,Technico
V170112,HOOFDKLASSE 2 res,2017-04-09 15:30:00,HOVE RES,KAPELLEN RES,,,, ,Hove
V170113,HOOFDKLASSE 2 res,2017-04-09 15:30:00,AGO AALST RES,HOEVENEN RES,,,, ,AGO Aalst
V170120,OVERGANGSKLASSE A res,2017-04-09 15:30:00,RKC RES,EKERSE RES,,,, ,RKC
V170121,OVERGANGSKLASSE A res,2017-04-09 15:30:00,KCOV RES,DEURNE RES,,,, ,KCOV
V170122,OVERGANGSKLASSE A res,2017-04-08 20:30:00,KC LIMES RES,VOS REINAERT RES,,,, ,Limes
V170123,OVERGANGSKLASSE A res,2017-04-09 00:00:00,O.ANDERLECHT RES,VRIJ,,,, ,
V170130,1ste gew TOPKLASSE ,2017-04-09 12:40:00,AKC/Luma 2,MINERVA 2,,,, ,AKC
V170131,1ste gew TOPKLASSE ,2017-04-09 12:40:00,FLORIANT 2,BOECKENBERG 2,,,, ,Floriant
V170132,1ste gew TOPKLASSE ,2017-04-09 00:00:00,MEEUWEN 2,VRIJ,,,, ,
V170133,1ste gew TOPKLASSE ,2017-04-09 00:00:00,VRIJ,BORGERHOUT/GW 2,,,, ,
V170140,1ste gew PROMOKLASSE,2017-04-09 12:40:00,LEUVEN 2,ASKC 2,,,, ,Leuven
V170141,1ste gew PROMOKLASSE,2017-04-09 12:40:00,RIVIERA 2,SIKOPI 2,,,, ,Riviera
V170142,1ste gew PROMOKLASSE,2017-04-09 12:40:00,VOBAKO 2,TEMSE 2,,,, ,Vobako
V170143,1ste gew PROMOKLASSE,2017-04-09 12:40:00,PUTSE 2,VOORWAARTS 2,,,, ,Putse
V170150,1ste gew HOOFDKLASSE 1,2017-04-09 00:00:00,Hoboken/Mercurius 2,VRIJ,,,, ,
V170151,1ste gew HOOFDKLASSE 1,2017-04-09 12:40:00,GANDA 2,VERDE 2,,,, ,Ganda
V170152,1ste gew HOOFDKLASSE 1,2017-04-08 17:30:00,RIJKO 2,APPELS 2,,,, ,Rijko
V170153,1ste gew HOOFDKLASSE 1,2017-04-09 12:40:00,SPARTACUS 2,CATBA 2,,,, ,Spartacus
V180001,TOPKLASSE,2017-04-23 15:30:00,BOECKENBERG,MEEUWEN,,,, ,Boeckenberg - Sportcenter
V180002,TOPKLASSE,2017-04-23 15:30:00,BORGERHOUT/GW,AKC/Luma,,,, ,Borgerhout/GW
V180003,TOPKLASSE,2017-04-23 15:30:00,MINERVA,SCALDIS,,,, ,Minerva
V180004,TOPKLASSE,2017-04-23 15:30:00,KWIK,FLORIANT,,,, ,Kwik
V180030,PROMOKLASSE,2017-04-23 15:30:00,VOBAKO,SIKOPI,,,, ,Vobako
V180031,PROMOKLASSE,2017-04-23 15:30:00,VOORWAARTS,LEUVEN,,,, ,Voorwaarts
V180032,PROMOKLASSE,2017-04-23 14:00:00,ASKC,PUTSE,,,, ,ASKC
V180033,PROMOKLASSE,2017-04-22 20:30:00,TEMSE,RIVIERA,,,, ,Temse
V180040,TOPKLASSE res,2017-04-23 14:00:00,BOECKENBERG RES,MEEUWEN RES,,,, ,Boeckenberg - Sportcenter
V180041,TOPKLASSE res,2017-04-23 14:00:00,BORGERHOUT/GW RES,AKC/Luma RES,,,, ,Borgerhout/GW
V180042,TOPKLASSE res,2017-04-23 14:00:00,MINERVA RES,SCALDIS RES,,,, ,Minerva
V180043,TOPKLASSE res,2017-04-23 14:00:00,KWIK RES,FLORIANT RES,,,, ,Kwik
V180050,PROMOKLASSE res,2017-04-23 14:00:00,VOBAKO RES,SIKOPI RES,,,, ,Vobako
V180051,PROMOKLASSE res,2017-04-23 14:00:00,VOORWAARTS RES,LEUVEN RES,,,, ,Voorwaarts
V180052,PROMOKLASSE res,2017-04-23 15:30:00,ASKC RES,PUTSE RES,,,, ,ASKC
V180053,PROMOKLASSE res,2017-04-22 18:45:00,TEMSE RES,RIVIERA RES,,,, ,Temse
V180060,HOOFDKLASSE 1,2017-04-23 14:15:00,VERDE,RIJKO,,,, ,Verde
V180061,HOOFDKLASSE 1,2017-04-23 15:30:00,CATBA,Hoboken/Mercurius,,,, ,Catba
V180062,HOOFDKLASSE 1,2017-04-23 15:30:00,KCBJ,SPARTACUS,,,, ,KCBJ
V180063,HOOFDKLASSE 1,2017-04-23 15:30:00,APPELS,GANDA,,,, ,Appels
V180070,HOOFDKLASSE 2,2017-04-23 15:30:00,NEERLANDIA,HOVE,,,, ,Neerlandia
V180071,HOOFDKLASSE 2,2017-04-23 14:00:00,HOEVENEN,BOECHOUT_VREMDE,,,, ,Hoevenen
V180072,HOOFDKLASSE 2,2017-04-23 15:30:00,ATBS,AGO AALST,,,, ,ATBS
V180073,HOOFDKLASSE 2,2017-04-23 16:00:00,KAPELLEN,TECHNICO,,,, ,Kapellen
V180080,OVERGANGSKLASSE A,2017-04-22 20:30:00,DEURNE,KC Limes,,,, ,Deurne
V180081,OVERGANGSKLASSE A,2017-04-23 14:00:00,JOKI,RKC,,,, ,Joki
V180082,OVERGANGSKLASSE A,2017-04-23 14:00:00,EKERSE,O.ANDERLECHT,,,, ,Ekerse
V180083,OVERGANGSKLASSE A,2017-04-22 18:30:00,VOS REINAERT,KCOV,,,, ,Vos Reinaert
V180090,OVERGANGSKLASSE B,2017-04-23 12:40:00,NEERLANDIA 2,BOUTERSEM,,,, ,Neerlandia
V180091,OVERGANGSKLASSE B,2017-04-23 12:40:00,HOEVENEN 2,Hoboken/Mercurius 3,,,, ,Hoevenen
V180092,OVERGANGSKLASSE B,2017-04-23 15:30:00,VOSKO,THE BLUE GHOSTS,,,, ,Vosko
V180093,OVERGANGSKLASSE B,2017-04-23 12:40:00,KAPELLEN 2,BORNEM,,,, ,Kapellen
V180100,HOOFDKLASSE 1 res,2017-04-23 15:45:00,VERDE RES,RIJKO RES,,,, ,Verde
V180101,HOOFDKLASSE 1 res,2017-04-23 14:00:00,CATBA RES,Hoboken/Mercurius res,,,, ,Catba
V180102,HOOFDKLASSE 1 res,2017-04-23 14:00:00,KCBJ RES,SPARTACUS RES,,,, ,KCBJ
V180103,HOOFDKLASSE 1 res,2017-04-23 14:00:00,APPELS RES,GANDA RES,,,, ,Appels
V180110,HOOFDKLASSE 2 res,2017-04-23 14:00:00,NEERLANDIA RES,HOVE RES,,,, ,Neerlandia
