nummer,reeks,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V050080,OVERGANGSKLASSE A,2016-09-18 14:00:00,EKERSE,RKC,,,Robert Hansens, ,Ekerse
V050081,OVERGANGSKLASSE A,2016-09-17 20:30:00,DEURNE,KCOV,,,Erik Van Hove, ,Deurne
V050082,OVERGANGSKLASSE A,2016-09-17 18:30:00,VOS REINAERT,KC Limes,,,Jozef Van Acker, ,Vos Reinaert
V050083,OVERGANGSKLASSE A,2016-09-18 14:00:00,JOKI,O.ANDERLECHT,,,Francçois Heyrman, ,Joki
V050090,OVERGANGSKLASSE B,2016-09-18 15:30:00,VOSKO,Hoboken/Mercurius 3,,,Jacques Ceurvelts, ,Vosko
V050091,OVERGANGSKLASSE B,2016-09-18 12:40:00,NEERLANDIA 2,BORNEM,,,Armand Scheerens, ,Neerlandia
V050092,OVERGANGSKLASSE B,2016-09-18 12:40:00,KAPELLEN 2,BOUTERSEM,,,Erik Van Hove, ,Kapellen
V050093,OVERGANGSKLASSE B,2016-09-18 12:40:00,HOEVENEN 2,THE BLUE GHOSTS,,,Kurt Vanlerberghe, ,Hoevenen
V050100,HOOFDKLASSE 1 res,2016-09-18 14:00:00,KCBJ RES,Hoboken/Mercurius res,,,, ,KCBJ
V050101,HOOFDKLASSE 1 res,2016-09-18 15:45:00,VERDE RES,GANDA RES,,,, ,Verde
V050102,HOOFDKLASSE 1 res,2016-09-18 14:00:00,APPELS RES,RIJKO RES,,,, ,Appels
V050103,HOOFDKLASSE 1 res,2016-09-18 14:00:00,CATBA RES,SPARTACUS RES,,,, ,Catba
V050110,HOOFDKLASSE 2 res,2016-09-18 14:00:00,ATBS RES,BOECHOUT_VREMDE RES,,,Lodewijk Van den Wyngaert, ,ATBS
V050111,HOOFDKLASSE 2 res,2016-09-18 14:00:00,NEERLANDIA RES,TECHNICO RES,,,, ,Neerlandia
V050112,HOOFDKLASSE 2 res,2016-09-18 14:30:00,KAPELLEN RES,HOVE RES,,,Andre Van den Berge, ,Kapellen
V050113,HOOFDKLASSE 2 res,2016-09-18 15:30:00,HOEVENEN RES,AGO AALST RES,,,, ,Hoevenen
V050120,OVERGANGSKLASSE A res,2016-09-18 15:30:00,EKERSE RES,RKC RES,,,, ,Ekerse
V050121,OVERGANGSKLASSE A res,2016-09-17 19:00:00,DEURNE RES,KCOV RES,,,, ,Deurne
V050122,OVERGANGSKLASSE A res,2016-09-17 20:00:00,VOS REINAERT RES,KC LIMES RES,,,, ,Vos Reinaert
V050123,OVERGANGSKLASSE A res,2016-09-18 00:00:00,VRIJ,O.ANDERLECHT RES,,,, ,
V050130,1ste gew TOPKLASSE ,2016-09-18 12:40:00,BOECKENBERG 2,AKC/Luma 2,,,, ,Boeckenberg - Sportcenter
V050131,1ste gew TOPKLASSE ,2016-09-18 12:40:00,MINERVA 2,FLORIANT 2,,,, ,Minerva
V050132,1ste gew TOPKLASSE ,2016-09-18 12:40:00,BORGERHOUT/GW 2,MEEUWEN 2,,,, ,Borgerhout/GW
V050140,1ste gew PROMOKLASSE,2016-09-18 12:40:00,SIKOPI 2,LEUVEN 2,,,, ,Sikopi
V050141,1ste gew PROMOKLASSE,2016-09-18 12:40:00,ASKC 2,RIVIERA 2,,,, ,ASKC
V050142,1ste gew PROMOKLASSE,2016-09-18 12:40:00,VOORWAARTS 2,VOBAKO 2,,,, ,Voorwaarts
V050143,1ste gew PROMOKLASSE,2016-09-17 17:30:00,TEMSE 2,PUTSE 2,,,, ,Temse
V050150,1ste gew HOOFDKLASSE 1,2016-09-18 00:00:00,VRIJ,Hoboken/Mercurius 2,,,, ,
V050151,1ste gew HOOFDKLASSE 1,2016-09-18 12:40:00,VERDE 2,GANDA 2,,,, ,Verde
V050152,1ste gew HOOFDKLASSE 1,2016-09-18 12:40:00,APPELS 2,RIJKO 2,,,, ,Appels
V050153,1ste gew HOOFDKLASSE 1,2016-09-18 12:40:00,CATBA 2,SPARTACUS 2,,,, ,Catba
V060001,TOPKLASSE,2016-09-25 15:30:00,KWIK,BOECKENBERG,,,Inge Bekaert, ,Kwik
V060002,TOPKLASSE,2016-09-25 15:30:00,FLORIANT,BORGERHOUT/GW,,,Hans Van Hellemont, ,Floriant
V060003,TOPKLASSE,2016-09-25 15:30:00,MEEUWEN,MINERVA,,,Miguel Wensma, ,Meeuwen
V060004,TOPKLASSE,2016-09-25 15:30:00,AKC/Luma,SCALDIS,,,Thierry Vangoidsenhoven, ,AKC
V060030,PROMOKLASSE,2016-09-24 20:30:00,TEMSE,SIKOPI,,,Tina Van Grimberge, ,Temse
V060031,PROMOKLASSE,2016-09-25 15:30:00,RIVIERA,VOORWAARTS,,,Jan Nelen, ,Riviera
V060032,PROMOKLASSE,2016-09-25 15:30:00,VOBAKO,ASKC,,,Robin De Backer, ,Vobako
V060033,PROMOKLASSE,2016-09-25 15:30:00,LEUVEN,PUTSE,,,Tom Goddefroy, ,Leuven
V060040,TOPKLASSE res,2016-09-25 14:00:00,KWIK RES,BOECKENBERG RES,,,, ,Kwik
V060041,TOPKLASSE res,2016-09-25 14:00:00,FLORIANT RES,BORGERHOUT/GW RES,,,Jorden Verest, ,Floriant
V060042,TOPKLASSE res,2016-09-25 14:00:00,MEEUWEN RES,MINERVA RES,,,, ,Meeuwen
V060043,TOPKLASSE res,2016-09-25 14:00:00,AKC/Luma RES,SCALDIS RES,,,, ,AKC
V060050,PROMOKLASSE res,2016-09-24 18:45:00,TEMSE RES,SIKOPI RES,,,Patrick Desmet, ,Temse
V060051,PROMOKLASSE res,2016-09-25 14:00:00,RIVIERA RES,VOORWAARTS RES,,,, ,Riviera
V060052,PROMOKLASSE res,2016-09-25 14:00:00,VOBAKO RES,ASKC RES,,,, ,Vobako
V060053,PROMOKLASSE res,2016-09-25 14:00:00,LEUVEN RES,PUTSE RES,,,, ,Leuven
